l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
michel	NOM	michel
hentzler	NOM	hentzler
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
13	NUM	@card@
;	PUN	;
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
80	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
avec	PRP	avec
christelle	NOM	christelle
et	KON	et
yasar	NOM	yasar
.	SENT	.
temps	NOM	temps
libre	ADJ	libre
:	PUN	:
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
à	PRP	à
14	NUM	@card@
h.	ABR	h.
