l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
daniel	ADJ	daniel
vesin	NOM	vesin
,	PUN	,
66	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général-de-gaulle	NOM	général-de-gaulle
;	PUN	;
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.16	NUM	@card@
.	SENT	.
45	NUM	@card@
télécopie	NOM	télécopie
03.29	NUM	@card@
.	SENT	.
90.11	NUM	@card@
.	SENT	.
87	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
7	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
la	DET:ART	le
poste	NOM	poste
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
levée	NOM	levée
du	PRP:det	du
courrier	NOM	courrier
à	PRP	à
15	NUM	@card@
h.	ABR	h.
arc-en-ciel	ADJ	arc-en-ciel
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
socio-culturelle	ADJ	socio-culturelle
.	SENT	.
