cadettes	NOM	cadet
60	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
e.	ABR	e.
barre	NOM	barre
(	PUN	(
thionville-yutz	NAM	thionville-yutz
)	PUN	)
8	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
panasiuk	NOM	panasiuk
(	PUN	(
smec	ADJ	smec
)	PUN	)
;	PUN	;
3	NUM	@card@
l.	ABR	l.
padier	NOM	padier
(	PUN	(
bar-le-duc	NOM	bar-le-duc
)	PUN	)
8	NUM	@card@
''	NOM	''
57	NUM	@card@
60	NUM	@card@
m	NOM	m
finale	ADJ	final
2	NUM	@card@
:	PUN	:
1	NUM	@card@
s.	ABR	s.
banisch	NOM	banisch
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
8	NUM	@card@
''	NOM	''
83	NUM	@card@
;	PUN	;
2	NUM	@card@
m.	ABR	m.
pingeon	NOM	pingeon
(	PUN	(
pac	NOM	pac
)	PUN	)
8	NUM	@card@
''	NOM	''
90	NUM	@card@
;	PUN	;
3	NUM	@card@
j.	ABR	j.
bellamy	NOM	bellamy
(	PUN	(
pac	NOM	pac
)	PUN	)
8	NUM	@card@
''	NOM	''
98	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
j.	ABR	j.
biette	NOM	biette
(	PUN	(
thaon	NOM	thaon
)	PUN	)
29	NUM	@card@
''	NOM	''
08	NUM	@card@
;	PUN	;
2	NUM	@card@
p.	ABR	p.
gérard	NOM	gérard
(	PUN	(
resda	VER:simp	resda
)	PUN	)
29	NUM	@card@
''	NOM	''
80	NUM	@card@
;	PUN	;
3	NUM	@card@
a.	ABR	a.
philbert	NOM	philbert
(	PUN	(
villers	NOM	villers
)	PUN	)
30	NUM	@card@
''	NOM	''
97	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
2	NUM	@card@
:	PUN	:
1	NUM	@card@
a.	ABR	a.
durupt	NOM	durupt
(	PUN	(
resda	VER:simp	resda
)	PUN	)
30	NUM	@card@
''	NOM	''
32	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
gabrieli	NOM	gabrieli
(	PUN	(
smec	ADJ	smec
)	PUN	)
30	NUM	@card@
''	NOM	''
76	NUM	@card@
;	PUN	;
3	NUM	@card@
s.	ABR	s.
banisch	NOM	banisch
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
30	NUM	@card@
''	NOM	''
89	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
3	NUM	@card@
:	PUN	:
1	NUM	@card@
h.	ABR	h.
leroy	NOM	leroy
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
30	NUM	@card@
''	NOM	''
26	NUM	@card@
;	PUN	;
2	NUM	@card@
l.	ABR	l.
fiedrich	NOM	fiedrich
(	PUN	(
crehange	NOM	crehange
)	PUN	)
31	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
3	NUM	@card@
s.	ABR	s.
cruchten	NOM	cruchten
(	PUN	(
audun-le-tiche	NOM	audun-le-tiche
)	PUN	)
32	NUM	@card@
''	NOM	''
26	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
4	NUM	@card@
:	PUN	:
1	NUM	@card@
l.	ABR	l.
obstetar	NOM	obstetar
(	PUN	(
smec	ADJ	smec
)	PUN	)
30	NUM	@card@
''	NOM	''
06	NUM	@card@
;	PUN	;
2	NUM	@card@
c.	ABR	c.
stirnweiss	NOM	stirnweiss
(	PUN	(
forbach	NOM	forbach
)	PUN	)
31	NUM	@card@
''	NOM	''
33	NUM	@card@
;	PUN	;
3	NUM	@card@
a.	ABR	a.
rigaud	NOM	rigaud
(	PUN	(
bouzonville	NOM	bouzonville
)	PUN	)
32	NUM	@card@
''	NOM	''
94	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
5	NUM	@card@
:	PUN	:
1	NUM	@card@
s.	ABR	s.
lebroussa	NOM	lebroussa
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
28	NUM	@card@
''	NOM	''
74	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
dorkel	NOM	dorkel
(	PUN	(
forbach	NOM	forbach
)	PUN	)
29	NUM	@card@
''	NOM	''
60	NUM	@card@
;	PUN	;
3	NUM	@card@
s.	ABR	s.
jeangeorge	NOM	jeangeorge
(	PUN	(
cohm	NOM	cohm
)	PUN	)
30	NUM	@card@
''	NOM	''
83	NUM	@card@
800	NUM	@card@
m	NOM	m
:	PUN	:
1	NUM	@card@
j.	ABR	j.
vincent	NOM	vincent
(	PUN	(
nancy	NOM	nancy
)	PUN	)
2	NUM	@card@
'	PUN	'
39	NUM	@card@
''	NOM	''
70	NUM	@card@
;	PUN	;
2	NUM	@card@
m.	ABR	m.
masone	NOM	masone
(	PUN	(
st-avold	NOM	st-avold
)	PUN	)
2	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
14	NUM	@card@
;	PUN	;
3	NUM	@card@
j.	ABR	j.
djelidi	NOM	djelidi
(	PUN	(
pac	NOM	pac
)	PUN	)
2	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
42	NUM	@card@
1500	NUM	@card@
m	NOM	m
:	PUN	:
1	NUM	@card@
p.	ABR	p.
martin	NOM	martin
(	PUN	(
villers	NOM	villers
)	PUN	)
5	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
20	NUM	@card@
60	NUM	@card@
m	ADJ	m
haies	NOM	haie
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
m.	ABR	m.
hocquel	ADJ	hocquel
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
8	NUM	@card@
''	NOM	''
96	NUM	@card@
;	PUN	;
2	NUM	@card@
l.	ABR	l.
malosse	NOM	malosse
(	PUN	(
resda	VER:simp	resda
)	PUN	)
9	NUM	@card@
''	NOM	''
35	NUM	@card@
;	PUN	;
3	NUM	@card@
s.	ABR	s.
lebroussa	NOM	lebroussa
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
9	NUM	@card@
''	NOM	''
76	NUM	@card@
60	NUM	@card@
m	NOM	m
finale	ADJ	final
2	NUM	@card@
:	PUN	:
1	NUM	@card@
v.	ABR	v.
doub	NOM	doub
(	PUN	(
forbach	NOM	forbach
)	PUN	)
9	NUM	@card@
''	NOM	''
84	NUM	@card@
;	PUN	;
2	NUM	@card@
p.	ABR	p.
kugler	NOM	kugler
(	PUN	(
sarguemines	NOM	sarguemines
)	PUN	)
9	NUM	@card@
''	NOM	''
98	NUM	@card@
;	PUN	;
3	NUM	@card@
s.	ABR	s.
fougerousse	NOM	fougerousse
(	PUN	(
audun-le-tiche	NOM	audun-le-tiche
)	PUN	)
10	NUM	@card@
''	NOM	''
06	NUM	@card@
hauteur	NOM	hauteur
:	PUN	:
1	NUM	@card@
v.	ABR	v.
doub	NOM	doub
(	PUN	(
forbach	NOM	forbach
)	PUN	)
1,63	NUM	@card@
m	NOM	m
;	PUN	;
2	NUM	@card@
m.	ABR	m.
parmentier	NOM	parmentier
(	PUN	(
audun-le-tiche	NOM	audun-le-tiche
)	PUN	)
1,60	NUM	@card@
m	NOM	m
;	PUN	;
3	NUM	@card@
c.	ABR	c.
godfrin	NOM	godfrin
(	PUN	(
smec	ADJ	smec
)	PUN	)
1,57	NUM	@card@
m.	ABR	m.
perche	NOM	perche
:	PUN	:
1	NUM	@card@
m.	ABR	m.
hocquel	ADJ	hocquel
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
3	NUM	@card@
m	NOM	m
;	PUN	;
2	NUM	@card@
j.	ABR	j.
weber	NOM	weber
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
2,85	NUM	@card@
m	NOM	m
;	PUN	;
3	NUM	@card@
l.	ABR	l.
aleil	NOM	aleil
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
2,55	NUM	@card@
m.	ABR	m.
longueur	NOM	longueur
:	PUN	:
1	NUM	@card@
l.	ABR	l.
malosse	NOM	malosse
(	PUN	(
resda	VER:simp	resda
)	PUN	)
5,15	NUM	@card@
m	NOM	m
;	PUN	;
2	NUM	@card@
m.	ABR	m.
blaise	NOM	blaise
(	PUN	(
guenange	NOM	guenange
)	PUN	)
4,91	NUM	@card@
m	NOM	m
;	PUN	;
3	NUM	@card@
j.	ABR	j.
van	NOM	van
(	PUN	(
smec	ADJ	smec
)	PUN	)
4,76	NUM	@card@
m.	ABR	m.
triple-saut	NOM	triple-saut
:	PUN	:
1	NUM	@card@
j.	ABR	j.
weber	NOM	weber
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
10,06	NUM	@card@
m	NOM	m
;	PUN	;
2	NUM	@card@
c.	ABR	c.
ptasinski	NOM	ptasinski
(	PUN	(
montceau	NOM	montceau
)	PUN	)
10,04	NUM	@card@
m	NOM	m
;	PUN	;
3	NUM	@card@
m.	ABR	m.
demangeon	NOM	demangeon
(	PUN	(
resda	VER:simp	resda
)	PUN	)
9,92	NUM	@card@
m	NOM	m
;	PUN	;
4	NUM	@card@
s.	ABR	s.
banisch	NOM	banisch
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
9,78	NUM	@card@
m.	ABR	m.
poids	NOM	poids
:	PUN	:
1	NUM	@card@
i.	ABR	i.
cuny	NOM	cuny
(	PUN	(
dombasle	NOM	dombasle
)	PUN	)
14,13	NUM	@card@
m	NOM	m
;	PUN	;
2	NUM	@card@
e.	ABR	e.
morel	NOM	morel
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
11,24	NUM	@card@
m	NOM	m
;	PUN	;
3	NUM	@card@
v.	ABR	v.
doub	NOM	doub
(	PUN	(
forbach	NOM	forbach
)	PUN	)
11,07	NUM	@card@
m.	ABR	m.
juniors	NOM	junior
filles	NOM	fille
60	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
m.	ABR	m.
evrard	NOM	evrard
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
7	NUM	@card@
''	NOM	''
96	NUM	@card@
;	PUN	;
2	NUM	@card@
l.	ABR	l.
barda	NOM	barda
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
8	NUM	@card@
''	NOM	''
16	NUM	@card@
;	PUN	;
3	NUM	@card@
v.	ABR	v.
lecoanet	NOM	lecoanet
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
8	NUM	@card@
''	NOM	''
19	NUM	@card@
60	NUM	@card@
finale	NOM	finale
2	NUM	@card@
:	PUN	:
1	NUM	@card@
m.	ABR	m.
volfart	NOM	volfart
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
8	NUM	@card@
''	NOM	''
55	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
franchini	NOM	franchini
(	PUN	(
guenange	NOM	guenange
)	PUN	)
8	NUM	@card@
''	NOM	''
69	NUM	@card@
;	PUN	;
3	NUM	@card@
a-l	ADJ	a-l
.	SENT	.
naymark	NOM	naymark
(	PUN	(
smec	ADJ	smec
)	PUN	)
8	NUM	@card@
''	NOM	''
35	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
l.	ABR	l.
barda	NOM	barda
(	PUN	(
sarreguemines	NOM	sarreguemines
)	PUN	)
26	NUM	@card@
''	NOM	''
22	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
notebaert	VER:futu	notebaert
(	PUN	(
smec	ADJ	smec
)	PUN	)
26	NUM	@card@
''	NOM	''
76	NUM	@card@
;	PUN	;
3	NUM	@card@
e.	ABR	e.
ducrocq	NOM	ducrocq
(	PUN	(
smec	ADJ	smec
)	PUN	)
28	NUM	@card@
''	NOM	''
11	NUM	@card@
200	NUM	@card@
m	NOM	m
finale	ADJ	final
2	NUM	@card@
:	PUN	:
1	NUM	@card@
c.	ABR	c.
thiery	NOM	thiery
(	PUN	(
st-remy/vittel	NAM	st-remy/vittel
)	PUN	)
27	NUM	@card@
''	NOM	''
16	NUM	@card@
;	PUN	;
2	NUM	@card@
a.	ABR	a.
sarnari	NOM	sarnari
(	PUN	(
asptt	NOM	asptt
nancy	NOM	nancy
)	PUN	)
28	NUM	@card@
''	NOM	''
66	NUM	@card@
;	PUN	;
3	NUM	@card@
c.	ABR	c.
schmitt	NOM	schmitt
(	PUN	(
thionville-yutz	NAM	thionville-yutz
)	PUN	)
28	NUM	@card@
''	NOM	''
66	NUM	@card@
400	NUM	@card@
m	NOM	m
finale	ADJ	final
1	NUM	@card@
:	PUN	:
1	NUM	@card@
n.	ABR	n.
eljaouhari	NOM	eljaouhari
(	PUN	(
forbach	NOM	forbach
)	PUN	)
66	NUM	@card@
''	NOM	''
95	NUM	@card@
;	PUN	;
2	NUM	@card@
m.	ABR	m.
nogare	NOM	nogare
(	PUN	(
amnéville	NOM	amnéville
)	PUN	)
68	NUM	@card@
''	NOM	''
41	NUM	@card@
400	NUM	@card@
